,tweetid,userid,screen_name,date,lang,location,text,tweet_type,followers_count,favourites_count,verified,hashtag,urls_list,account_creation_date,mentionid,mentionsn,rt_userid
11562,1227636146039132165,233070159,alisonpalk,wed feb 12 16:50:40 +0000 2020,en,"montreal, quebec","rt @peterhotez: ignore #antivax misinformation about the #flushot.  single dose flu vaccines contain no #thimerosal or #mercury, here are t…",quoted_tweet,382,1716,false,"[antivax, flushot, thimerosal, mercury]",[],sun jan 02 05:34:52 +0000 2011,[593289567],['peterhotez'],
13373,1227636530656817152,1529917477,solon594bce,wed feb 12 16:52:11 +0000 2020,en,,"rt @peterhotez: ignore #antivax misinformation about the #flushot.  single dose flu vaccines contain no #thimerosal or #mercury, here are t…",quoted_tweet,4013,151246,false,"[antivax, flushot, thimerosal, mercury]",[],wed jun 19 06:14:11 +0000 2013,[593289567],['peterhotez'],
19716,1227637866936836096,1204759427766800384,cawebb0412,wed feb 12 16:57:30 +0000 2020,en,,"rt @peterhotez: ignore #antivax misinformation about the #flushot.  single dose flu vaccines contain no #thimerosal or #mercury, here are t…",quoted_tweet,572,31330,false,"[antivax, flushot, thimerosal, mercury]",[],wed dec 11 13:46:58 +0000 2019,[593289567],['peterhotez'],
6139,1227639708643020803,1204494871324766209,maximumover,wed feb 12 17:04:49 +0000 2020,en,,"rt @peterhotez: ignore #antivax misinformation about the #flushot.  single dose flu vaccines contain no #thimerosal or #mercury, here are t…",quoted_tweet,65,7712,false,"[antivax, flushot, thimerosal, mercury]",[],tue dec 10 20:15:59 +0000 2019,[593289567],['peterhotez'],
12461,1227641022152429574,824374498262663176,deraltegaukler,wed feb 12 17:10:02 +0000 2020,en,germany,rt @peterhotez: hateful #antivax desperate to convince you not to get your flu vaccine. ignore it: follow the good people @jeromeadamsmd @s…,quoted_tweet,478,61139,false,[antivax],[],wed jan 25 21:52:51 +0000 2017,"[593289567, 488950348]","['peterhotez', 'jeromeadamsmd']",
14655,1227641480245915648,1227507828123996166,danieljacksong1,wed feb 12 17:11:52 +0000 2020,en,,"rt @peterhotez: ignore #antivax misinformation about the #flushot.  single dose flu vaccines contain no #thimerosal or #mercury, here are t…",quoted_tweet,3,96,false,"[antivax, flushot, thimerosal, mercury]",[],wed feb 12 08:20:57 +0000 2020,[593289567],['peterhotez'],
14704,1227641490731622400,1227507828123996166,danieljacksong1,wed feb 12 17:11:54 +0000 2020,en,,rt @peterhotez: hateful #antivax desperate to convince you not to get your flu vaccine. ignore it: follow the good people @jeromeadamsmd @s…,quoted_tweet,3,97,false,[antivax],[],wed feb 12 08:20:57 +0000 2020,"[593289567, 488950348]","['peterhotez', 'jeromeadamsmd']",
49843,1227649352602021888,200525669,badassactivist,wed feb 12 17:43:08 +0000 2020,en,559,"rt @peterhotez: ignore #antivax misinformation about the #flushot.  single dose flu vaccines contain no #thimerosal or #mercury, here are t…",quoted_tweet,2313,15463,false,"[antivax, flushot, thimerosal, mercury]",[],sat oct 09 14:46:22 +0000 2010,[593289567],['peterhotez'],
50380,1227649476535320576,200525669,badassactivist,wed feb 12 17:43:38 +0000 2020,en,559,rt @peterhotez: hateful #antivax desperate to convince you not to get your flu vaccine. ignore it: follow the good people @jeromeadamsmd @s…,quoted_tweet,2313,15464,false,[antivax],[],sat oct 09 14:46:22 +0000 2010,"[593289567, 488950348]","['peterhotez', 'jeromeadamsmd']",
62130,1227651979364753408,802984968402124801,skeptmgmt,wed feb 12 17:53:35 +0000 2020,en,,rt @peterhotez: hateful #antivax desperate to convince you not to get your flu vaccine. ignore it: follow the good people @jeromeadamsmd @s…,quoted_tweet,151,2104,false,[antivax],[],sun nov 27 21:18:30 +0000 2016,"[593289567, 488950348]","['peterhotez', 'jeromeadamsmd']",
31230,1227645145392107522,1169351226674176000,barb78405439,wed feb 12 17:26:25 +0000 2020,en,,"rt @lotusoak2: children less protected by whooping cough #vaccine than they once were, cdc warns

https://t.co/mpo4mtciig

#learntherisk #v…",retweeted_tweet_without_comment,135,937,false,"[vaccine, learntherisk]","[{'url': 'https://t.co/mpo4mtciig', 'expanded_url': 'https://www.usatoday.com/story/life/allthemoms/2019/03/14/whooping-cough-vaccine-less-effective-cdc-warns-as-outbreaks-hit-schools/3161859002/', 'display_url': 'usatoday.com/story/life/all…', 'indices': [98, 121]}]",wed sep 04 20:47:31 +0000 2019,[424664120],['lotusoak2'],424664120.0
16685,1227666523470192640,1201921406834864129,drdanrwilson,wed feb 12 18:51:22 +0000 2020,en," 👉 opinion, not advice 👈",rt @peterhotez: hateful #antivax desperate to convince you not to get your flu vaccine. ignore it: follow the good people @jeromeadamsmd @s…,quoted_tweet,138,288,false,[antivax],[],tue dec 03 19:05:25 +0000 2019,"[593289567, 488950348]","['peterhotez', 'jeromeadamsmd']",
32862,1227674295536582657,29795680,filiamd,wed feb 12 19:22:15 +0000 2020,en,"rome, italy","rt @peterhotez: ignore #antivax misinformation about the #flushot.  single dose flu vaccines contain no #thimerosal or #mercury, here are t…",quoted_tweet,1066,4638,false,"[antivax, flushot, thimerosal, mercury]",[],wed apr 08 19:23:24 +0000 2009,[593289567],['peterhotez'],
